,Unnamed: 0,School ID,School Name,Latitude Longitude,Student Population,Free Discount Lunch,Students Per Teacher,Rank Stars,Rank Level,Rank Statewide,Average Standard Score,Neighborhood,Community
44,44,272124000000.0,Anwatin Middle Com & Spanish D I,"44.972619, -93.316827",555,66.67,12.8,1.0,Middle,18.3,21.30839,Calhoun Isles,Calhoun-Isle
45,45,272124000000.0,Field Community,"44.918585, -93.269628",517,18.38,21.2,5.0,Middle,93.21,86.89854,Nokomis,Nokomis
46,46,272124000000.0,Franklin Middle School,"44.99412, -93.290291",368,87.77,16.4,0.0,Middle,1.89,2.97745,Near North,Near North
47,47,272124000000.0,Justice Page Middle School,"44.913291, -93.279083",844,42.3,18.4,4.0,Middle,84.15,77.89820999999999,Southwest Minneapolis,Southwest
48,48,272124000000.0,Lake Harriet Upper School,"44.913827, -93.316838",634,6.94,21.6,5.0,Middle,94.72,89.59215,Southwest Minneapolis,Southwest
49,49,272124000000.0,Lk Nokomis Community-Keewaydin Campus,"44.908545, -93.229299",463,45.36,17.1,2.0,Middle,35.09,39.72721,Nokomis,Nokomis
50,50,272124000000.0,Northeast Middle,"45.021472, -93.233733",502,73.31,15.1,0.0,Middle,9.43,9.52481,Northeast Minneapolis,Northeast
51,51,272124000000.0,Olson Middle,"45.046651, -93.301311",387,81.4,14.8,0.0,Middle,9.06,9.09795,Camden,Camden
52,52,272124000000.0,Sanford Middle,"44.938768, -93.213351",970,56.7,18.3,2.0,Middle,33.02,37.962720000000004,Howe,Longfellow
53,53,272124000000.0,800 W Broadway,"44.999503, -93.289995",32,78.12,6.4,,,,,Hawthorne,Near North
54,54,272124000000.0,800 W Broadway Extended,"44.999503, -93.289995",35,8.57,,,,,,Hawthorne,Near North
55,55,272124000000.0,Alternative Learning Center Extended Day,"44.999181, -93.250117",8,,,,,,,Logan Park,Northeast
56,56,272124000000.0,American Indian Oic,"44.961955, -93.246049",36,83.33,13.7,,,,,Seward,Longfellow
57,57,272124000000.0,American Indian OIC Extended,"44.961955, -93.246049",0,,,,,,,Seward,Longfellow
58,58,272124000000.0,Basic Skills-4,"44.999508, -93.296809",0,,,,,,,Jordan,Near North
59,59,272124000000.0,Center School,"44.958306, -93.252068",47,89.36,11.1,,,,,Phillips,Phillips
60,60,272124000000.0,Center School Extended,"44.958306, -93.252068",1,0.0,,,,,,Phillips,Phillips
61,61,272124000000.0,Edison High School - SWS,"45.00939, -93.251681",0,,,,,,,Northeast Minneapolis,Northeast
62,62,272124000000.0,Edison Senior High,"45.00939, -93.251681",1005,74.93,13.9,1.0,High,18.5,19.12167,Northeast Minneapolis,Northeast
63,63,272124000000.0,FAIR Senior High,"44.975656, -93.277353",223,61.88,20.6,1.0,High,29.27,36.14362,Central Minneapolis,Central
64,64,272124000000.0,Harrison Education Center,"44.982496, -93.299671",29,86.21,3.0,,,,,Harrison,Near North
65,65,272124000000.0,Henry High School - SWS,"45.0344, -93.305331",1,0.0,,,,,,Camden,Camden
66,66,272124000000.0,Henry Senior High,"45.0344, -93.305331",1057,68.31,15.6,,,,,Camden,Camden
67,67,272124000000.0,Heritage Academy - SWS,"44.98903, -93.226261",0,,,,,,,Como,University
68,68,272124000000.0,Heritage STEM Academy,"44.98903, -93.226261",203,85.22,14.4,0.0,High,4.67,5.0456900000000005,Como,University
69,69,272124000000.0,Longfellow Alt Extended,"44.946436, -93.227762",0,,,,,,,Longfellow,Longfellow
70,70,272124000000.0,Longfellow Alternative,"44.946436, -93.227762",72,97.22,9.4,,,,,Longfellow,Longfellow
71,71,272124000000.0,Loring Nicollet Extended,"44.96308, -93.277431",0,,,,,,,Central Minneapolis,Central
72,72,272124000000.0,Loring-Nicollet High,"44.96308, -93.277431",58,44.83,16.1,,,,,Central Minneapolis,Central
73,73,272124000000.0,Menlo Park Academy,"45.005815, -93.26666",72,72.22,15.6,,,,,Bottineau,Northeast
74,74,272124000000.0,Menlo Park Academy Extended,"45.005815, -93.26666",0,,,,,,,Bottineau,Northeast
75,75,272124000000.0,Merc,"44.956064, -93.282634",51,64.71,14.1,,,,,Powderhorn,Powderhorn
76,76,272124000000.0,MERC Extended,"44.956064, -93.282634",7,,,,,,,Powderhorn,Powderhorn
77,77,272124000000.0,Minneapolis On Line Learning,"44.999508, -93.296809",54,40.74,,,,,,Jordan,Near North
78,78,272124000000.0,Mpls. High School Alternative Program,"44.947716, -93.239287",0,,,,,,,Powderhorn,Powderhorn
79,79,272124000000.0,North Academy Senior High,"44.994017, -93.300234",447,80.98,6.2,0.0,High,0.61,3.0479,Near North,Near North
80,80,272124000000.0,Plymouth Youth Center,"45.001758, -93.306603",100,83.0,10.5,0.0,High,4.27,4.8556099999999995,Willard-Hay,Near North
81,81,272124000000.0,Plymouth Youth Center Extended,"45.001758, -93.306603",17,82.35,,,,,,Willard-Hay,Near North
82,82,272124000000.0,Roosevelt High School - SWS,"44.994017, -93.300234",1,0.0,,,,,,Near North,Near North
83,83,272124000000.0,Roosevelt Senior High,"44.930256, -93.231481",1014,58.97,14.5,1.0,High,21.14,23.7834,Standish,Powderhorn
84,84,272124000000.0,South Senior High,"44.945963, -93.244269",1739,54.57,16.6,1.0,High,18.29,18.44831,Powderhorn,Powderhorn
85,85,272124000000.0,Southwest High School - SWS,"44.918405, -93.324337",0,,,,,,,Southwest Minneapolis,Southwest
86,86,272124000000.0,Southwest Senior High,"44.918405, -93.324337",1923,37.44,18.1,2.0,High,39.23,48.18855,Southwest Minneapolis,Southwest
87,87,272124000000.0,Stadium View,"44.974738, -93.261549",39,92.31,4.3,,,,,Central Minneapolis,Central
88,88,272124000000.0,Transition Plus Services,"44.947926, -93.243024",269,73.61,9.0,,,,,Powderhorn,Powderhorn
89,89,272124000000.0,Voa High School,"44.963113, -93.24599",92,81.52,14.9,,,,,Seward,Longfellow
90,90,272124000000.0,Volunteers of America Extended,"44.963113, -93.24599",13,76.92,,,,,,Seward,Longfellow
