COMMUNITY,LAT,LNG
CALHOUN-ISLE,44.959319,-93.306924
CAMDEN,45.032955,-93.3003
CENTRAL,44.97651,-93.270469
LONGFELLOW,44.948282,-93.227425
NEAR NORTH,44.993191,-93.293128
NOKOMIS,44.906686,-93.23768
NORTHEAST,45.015793,-93.249438
PHILLIPS,44.95652,-93.257054
POWDERHORN,44.938932,-93.25848
SOUTHWEST,44.916219,-93.298635
UNIVERSITY,44.976498,-93.230213
