X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.274213940506115,44.978389521530005,0006XX HENNEPIN AVE ,MP2018352810        ,1     ,2018-10-21T00:00:00.000Z,40,2018-10-21T00:00:00.000Z,2018-10-21T00:40:00.000Z,40,THEFT   ,OTHER THEFT                   ,07 ,2018-10-22T00:00:00.000Z,17240,-93.27422196,44.97839171,-10383238,5618120,Downtown West,2018-10-23T00:00:00.000Z,2019-02-11T12:25:09.000Z,6964
-93.288101894798615,44.947479535084717,0030XX LYNDALE AVE S,MP2018352905        ,5     ,2018-10-21T00:00:00.000Z,631,2018-10-20T00:00:00.000Z,2018-10-21T06:31:00.000Z,1400,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-21T00:00:00.000Z,19250,-93.28810737,44.94748459,-10384784,5613257,CARAG,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6965
-93.263110763594398,45.011626332270154,0023XX UNIVERSITY AVE NE,MP2018352927        ,2     ,2018-10-21T00:00:00.000Z,1102,2018-10-21T00:00:00.000Z,2018-10-21T11:02:00.000Z,200,THEFT   ,OTHER THEFT                   ,07 ,2018-10-21T00:00:00.000Z,14500,-93.26311732,45.01163067,-10382002,5623352,Bottineau,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6966
-93.272040017518549,44.971545377282418,0002XX 11TH ST S,MP2018352952        ,1     ,2018-10-21T00:00:00.000Z,334,2018-10-21T00:00:00.000Z,2018-10-21T03:34:00.000Z,301,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-21T00:00:00.000Z,17354,-93.27204885,44.97154605,-10382996,5617043,Downtown West,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6967
-93.300902887597303,44.940421867487785,0034XX HUMBOLDT AVE S,MP2018353039        ,5     ,2018-10-21T00:00:00.000Z,919,2018-10-21T00:00:00.000Z,2018-10-21T09:19:00.000Z,530,TFMV    ,THEFT FROM MOTR VEHC          ,07 ,2018-10-21T00:00:00.000Z,11726,-93.30090963,44.9404251,-10386209,5612147,ECCO,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6968
-93.260110390545435,44.947447745734628,0030XX 10TH AVE S,MP2018353059        ,3     ,2018-10-21T00:00:00.000Z,1016,2018-10-21T00:00:00.000Z,2018-10-21T10:16:00.000Z,100,DASLT2  ,2ND DEG DOMES ASLT            ,05 ,2018-10-21T00:00:00.000Z,11951,-93.26011892,44.94745192,-10381668,5613252,Powderhorn Park,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6969
-93.255430167915179,44.977086845781166,0002XX 9TH AVE S,MP2018353120        ,1     ,2018-10-21T00:00:00.000Z,1102,2018-10-20T00:00:00.000Z,2018-10-21T11:02:00.000Z,1915,AUTOTH  ,AUTOMOBILE THEFT              ,08 ,2018-10-21T00:00:00.000Z,25097,-93.25543797,44.97709015,-10381147,5617915,Downtown East,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6970
-93.236125372459455,44.98579832413521,0011XX 8TH ST SE,MP2018353146        ,2     ,2018-10-21T00:00:00.000Z,1345,2018-10-20T00:00:00.000Z,2018-10-21T13:45:00.000Z,1320,BURGD   ,BURGLARY OF DWELLING          ,06 ,2018-10-21T00:00:00.000Z,17647,-93.23612886,44.98579912,-10378998,5619286,Marcy Holmes,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6971
-93.254972027120274,44.995982276308396,0006XX JEFFERSON ST NE,MP2018353149        ,2     ,2018-10-21T00:00:00.000Z,1238,2018-10-21T00:00:00.000Z,2018-10-21T12:38:00.000Z,300,CSCR    ,CSC - RAPE                    ,03 ,2018-10-21T00:00:00.000Z,16322,-93.2549785,44.99598622,-10381096,5620889,St. Anthony East,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6972
-93.254181509670261,44.960924851397742,0014XX 22ND ST E,MP2018353164        ,3     ,2018-10-21T00:00:00.000Z,1324,2018-09-01T00:00:00.000Z,2018-10-21T13:24:00.000Z,0,CSCR    ,CSC - RAPE                    ,03 ,2018-10-21T00:00:00.000Z,21470,-93.25418333,44.96092952,-10381008,5615372,Ventura Village,2018-10-21T00:00:00.000Z,2019-02-11T12:25:09.000Z,6973
